CodEmpresa,DescEmpresa
28691,COOPERATIVA DE AHORRO Y CREDITO MARCABELI LTDA                                                      
66592,ESCUT TIPO C
43819,COOK Y CHEF SCHOOL   
27023,CONGREG PROVIDENCIA UNID EDUCAT SAN PATRICIO DE PROVIDENCIA                                         
49255,FIDEICOMISO SECTOR AUTOMOTRIZ
51865,EDUCOLLEGE EXCELENCIA ACADEMICA SA   
48714,UNDA ESPINOSA MARIA DE LOURDES   
66316,COLEGIO ADVENTISTA DEL SUR   
28898,UNIDAD EDUCATIVA SAN FRANCISCO DE SALES- 
65965,NEXTCORE CORPORATION SA                                                                             
46376,ESCUELA BASICA GUAYAS                                                                               
66410,HELEN DORON ENGLISH  
2159,ALMACENES JUAN ELJURI CIA LTDA-  
69367,UE MARIA MERCEDES                                                                                   
68018,COOP SANTA ANITA IBARRA                                                                             
67482,LORENA DEL CARMEN TAPIA MORENO   
67227,INGENIO PREUNIVERSITARIO                                                                            
313,BILINGUE
14644,MERCANTIL FLORES CAMPOVERDE CIA LTDA 
16343,BANCO CAPITAL S.A.- 
36697,COMERCIALIZADORA JALEAREAL CIA LTDA  
68518,UNIDAD EDUCATIVA ROSA SERRANO                                                                       
68464,ZAMNET                                                                                              
10756,REPRESENTACIONES CELULARES GUERRERO Y RODRIGUEZ CIA LTDA  
57974,ESCUELA DE EDUCACION BASICA  
21780,COLEGIO APCH
68588,ECONOMATO MACAS                                                                                     
69239,DECTELL                                                                                             
23909,IGLESIA NUEVA APOSTOLICA 
69884,U E SANTA TERESITA NINO JE                                                                          
34315,RECAUDACIONES
8190,MUNDIALO
19651,COLEGIO REPUBLICA DE FRANCIA 
46861,JARDINES DE QUEVEDO  
10781,SHAJANA S.A.-   
8550,COLEGIO PARTICULAR NUEVO ECUADOR 
37161,SINDICATO DE CHOFERES PROFESIONALES PARROQUIA BANOS   
2902,UNIDAD EDUCATIVA BORJA                                                                              
25471,UNIVERSIDAD ANDINA SIMON BOLIVAR SEDE ECUADOR-RECAUDACIONES                                         
5823,DYBIMAGEN S.A.- 
26693,COAC MAQUITA CUSHUN                                                                                 
69040,OCTELCO BIBIN                                                                                       
48600,SOCIEDAD CIVIL COLECTIVA M Y L SERVICIOS EDUCATIVOS   
57774,DIVERSERVI                                                                                          
1454,LINKOTEL SA-
66323,COLEGIO ADVENTISTA GEDEON                                                                           
54106,COBROFAST CIA LTDA                                                                                  
13360,FERROHECADU S.A.                                                                                    
19088,INSTITUTO SAN ISIDRO 
58074,ASTRONET                                                                                            
2763,SAINT DOMINIC SCHOOL-   
3296,COLEGIO SANTO DOMINGO DE GUZMAN GQUIL-   
36765,UNIDAD EDUCATIVA SALINAS INNOVA  
11104,COMM Y NET S.A- 
55463,GONET                                                                                               
67905,COLORADOSVISION CIA LTDA                                                                            
66312,COLEGIO ADVENTISTA UNAMUNO                                                                          
51255,UNIDAD EDUCATIVA LUDOTECA PADRE VICTOR GRADOS PVG CIA LTDA
45727,SOCIOS BARCELONA
22884,SAMASAT COMUNICACIONES SA
46018,TELEVISION MONTALVO VISION MONVISION S A  
32887,DISTRIORIENTE ECUADOR CIA LTDA   
67500,TV ORO HUAQUILLAS                                                                                   
13112,UNIDAD EDUCATIVA STELLA MARIS
9366,COOPERATIVA DE AHORRO Y CREDITO SAN ANTONIO LTDA                                                    
67424,NULL
41445,COLEGIO PARTICULAR A DISTANCIA SIMON BOLIVAR  
34468,UNIDAD EDUCATIVA DE LA ASUNCION  
54289,LEMAS ML2   
42960,UNIDAD EDUCATIVA ZOILA CABRERA MIRANDA
2547,TECNOVA S A 
2920,FONDO DE CESANTIA DEL MAGISTERIO ECUATORIANO-RECAUDACIONES                                          
53798,UNIDAD EDUCATIVA LEONIE AVIAT
28574,CONDOMINIOS EL INCA-
528,EL COMERCIO-RECAUDACIONES                                                                           
2100,PUCE SEDE SANTO DOMINGO                                                                             
27107,ESCUELA JEAN PIAGET                                                                                 
723,JAMES BROWN PHARMA CA                                                                               
57807,UNIDAD EDUCATIVA PENSIONADO  
67161,UNIDAD EDUCATIVA JOHN HARMAN 
51664,GOLDEN TRAINING CENTER  CA                                                                          
41521,U E SANTA MAGDALENA  
6891,GADERE S A  
66414,HEALTHY GREEN WORLD ECUADOR  
52340,EDUPROYECT PROYECTO GLOBAL DEL ECUADOR SA 
64566,MUNICIPIO DE MEJIA                                                                                  
7877,EQUIFAX ECUADOR CA   
25268,JUNTA AGUA POTABLE PASEOS DEL PICHINCHA   
38650,COMPANIA DE TRANSPORTE JOVENES DEL FUTURO TRANSJODEFU SA                                            
881,COLEGIO SAN GABRIEL-RECAUDACIONES                                                                   
23746,RECAUDACIONES
614,CHAIDE  
64026,PRO Y LECMA CIA LTDA                                                                                
43552,ORGANIZACIONES PADISA S A                                                                           
55134,MIKRO NET                                                                                           
1548,MEMORIAL INTERNATIONAL   
37591,INSTITUTO SUPERIOR TECNOLOGICO ORIENTE
1248,EL BOSQUE                                                                                           
8350,JARDINES DE MANABI   
64812,COLEGIO SAN JUAN PABLO                                                                              
67221,TV ORO PORTOVELO ZARUMA                                                                             
13248,CORPORACION COMO EDUCAR-
27324,CATALOGO HH                                                                                         
55869,HINODE ECUADOR CIA LTDA                                                                             
4602,MODERNA ALIMENTOS SA                                                                                
12116,COOPERATIVA AHO Y CRED MUSHUC RUNA   
1096,DURAMAS-
36192,UNIESCOLAR S A                                                                                      
51376,INSTITUTO ASEDU ECUADOR ASEDUECUADOR S A                                                            
51972,UE NUESTRA FAMILIA UNEBNUFA                                                                         
13892,SOLINTELSA SOLUCIONES INTEGRADAS-
11154,CGS CONSTRUCCIONES GENERALES Y SERVICIOS CIA.-
2747,UTEG                                                                                                
2711,CASA DEL RULIMAN DEL ECUADOR S A CARRULESA                                                          
67082,AGUA POTABLE JIPIJAPA                                                                               
69568,VICTOR HUGO POZO ANDRADE                                                                            
914,CORDIALSA                                                                                           
67682,FCPC CCV CTE                                                                                        
69213,MAXXNET                                                                                             
22798,PUCE SEDE IBARRA
7407,COOP SANTA ANITA                                                                                    
132,CONAUTO C A                                                                                         
25415,CREDIMETRICA S A-RECAUDACIONES                                                                      
41982,UNIDAD EDUCATIVA GENESIS                                                                            
23319,CONSORCIO ECUATORIANO AUTOMOTRIZ CA CONECA                                                          
66315,COL ADVENTISTA CIUDAD DE QUITO                                                                      
60773,NEXUS                                                                                               
3830,GAD MUNICIPAL CHONE                                                                                 
61815,CARICO FINANCE ECUADOR CIA LTDA  
27287,RECAUDACIONES
56660,ECUFONEMIRE SA                                                                                      
50353,UNIDAD EDUCATIVA ANTOINE DE SAINT EXUPERY CA                                                        
53748,UNIDAD EDUCATIVA SCOTLAND                                                                           
9631,UNIVERSIDAD ESPIRITU SANTO-RECAUDACIONES                                                            
4715,CINE CABLE TV TULCAN                                                                                
58662,MEGACONNECTION                                                                                      
65856,MYLITOP SA  
34235,DISNAC                                                                                              
69919,UNIDAD EDUCATIVA CIUDAD DE FILADELFIA                                                               
40549,GESTIONA MOVISTAR                                                                                   
27383,U EDU SANTIAGO MAYOR                                                                                
22914,COLEGIO PARTICULAR ALESSANDRO VOLTA- 
7031,HABITAT PARA LA HUMANIDAD ECUADOR-RECAUDACIONES                                                     
27827,EDUCACION A DISTANCIA UCSG-RECAUDACIONES                                                            
69494,INST SUP TECNICO MEDIFORM                                                                           
69085,JOSE ARTURO GUEVARA NAVARRETE                                                                       
17442,FUNDACION PARA EL DESARROLLO Y BIENESTAR DEL POL-RECAUDACIONES                                      
65425,INSTITUTO SUPERIOR TECNOLOGICO ARGOS                                                                
62645,SAN PIO DE PIETRELCINA                                                                              
9208,FUNDACION RADIO MARIA-RECAUDACIONES                                                                 
34404,RECAUDACIONES
307,EDIMCA                                                                                              
68585,INTERNET SCANT                                                                                      
69265,NETWORKTELECOMUNICATIONSYSTEMS S A S                                                                
68109,COOP SANTA ANITA PARCELAS                                                                           
45220,BORKIS ENTERTAINMENT CIA LTDA
20287,CEPIM CENTRO PROM. INTEGRAL DE LA MUJER- 
19766,UMET                                                                                                
15487,BUSINESSWISE S.A.-  
239,IMPORTADORA TOMEBAMBA SA                                                                            
7286,REINEC C LTDA                                                                                       
2050,E P N                                                                                               
62583,CREDIPRIME SA                                                                                       
39783,CENTRO DE ESTUDIOS SA SENDERESA                                                                     
49254,LA RAIZ                                                                                             
52723,INSTITUTO INTERNACIONAL CFAI                                                                        
496,UNIVERSIDAD TECNOLOGICA EQUINOCCIAL-RECAUDACIONES                                                   
233,UNIVERSIDAD DEL AZUAY                                                                               
17483,COOP GUARANDA                                                                                       
143,ECUASANITAS SA                                                                                      
68606,ORLANDO TOAQUIZA QUINAPALLO                                                                         
33838,CORPORACION INTERNACIONAL CASH                                                                      
29815,ESCUELA PARTICULAR NO4 JESUS EL SALVADOR  
46770,APAYSAMI SALUD Y PROSPERIDAD PU LAR Y GU VAL APAYSAMI CIA LTDA                                      
28144,UNIVERSIDAD METROPOLITANA                                                                           
23603,ECUATORIANA DE SAL Y PRODUCTOS QUIMICOS CA ECUASAL-RECAUDACIONES                                    
68110,COOP SANTA ANITA ATUNTAQUI                                                                          
28355,EDUCAR 2000 LOZA RIVADENEIRA SA-RECAUDACIONES                                                       
2699,ALESSA                                                                                              
49449,CONEXIONTOTAL SA                                                                                    
59932,BARCESTARS                                                                                          
48075,JOFFRE MOISES GUZMAN GUZMAN                                                                         
68108,COOP SANTA ANITA SAN RAFAEL                                                                         
3796,GAD MUNICIPAL QUEVEDO                                                                               
56043,CONSTRUCTORA IZYFCO CIA LTDA                                                                        
66273,CONTROL RECURSOS Y ENERGIA ARC                                                                      
151,REYBANPAC REY BANANO DEL PACIFICO-RECAUDACIONES                                                     
68530,NETHOME                                                                                             
39985,COOPERATIVA 16 DE JULIO                                                                             
68556,AUTOMOTORES DE LA SIERRA                                                                            
68860,KEO ECUADOR SA                                                                                      
23414,ESCUELA PARTICULAR 415 MONSENOR ELIECER N FIALLOS                                                   
2158,CINTAS TEXTILES S A-RECAUDACIONES                                                                   
35091,BPOGLOBAL SERVICES SA                                                                               
52538,GESTION INTEGRAL DE COBROS COBRARED SA
41979,METRICOBRANZAS S A                                                                                  
1974,FERREMUNDO                                                                                          
2305,COLEGIO FRANCES DE QUITO CIA LTDA-RECAUDACIONES                                                     
70165,COAC SIERRA CENTRO MACHACHI                                                                         
1037,ECUAQUIMICA ECUATORIANA DE PRODUCTOS QUIMICOS C A                                                   
63394,SPEEDFIBER                                                                                          
68410,SOFIA CAROLINA ROBAYO VALLE                                                                         
39990,IMPORMEGATEX CIA LTDA                                                                               
69084,CERTERO INSCRIPCION                                                                                 
51329,ABANY SCHOOL                                                                                        
3883,GAD MUNICIPAL JAMA                                                                                  
21524,PRODUCTORA AVICOLA CEVALLOS PROAVICEA CIA LTDA                                                      
9710,MUTUALISTA IMBABURA                                                                                 
69872,RECAUDACION CARTERA                                                                                 
26845,GUTLOP SA                                                                                           
70234,BEES DELIVERY SAS                                                                                   
48076,COLEGIO PARTICULAR JOHN OSTEEN CPJO CIA LTDA                                                        
70163,COAC SIERRA CENTRO PUJILI                                                                           
8648,U E LUZ Y LIBERTAD LC                                                                               
39845,CONGREG RELIGIOSA DE LOS SAGRADOS CORAZONES DE JESUS Y MARIA Y DE LA ADORACION PERPETUA DEL SANTISI 
47569,CAYAMBEVISION SA                                                                                    
20233,PEDRO ALVARO RODRIGUEZ ROSERO                                                                       
69254,MARIANITAS                                                                                          
1112,ABCALSA S A                                                                                         
63986,SITEC                                                                                               
65765,ESCUELA ESPIRITU SANTO QUEVEDO                                                                      
50595,IVAN DARIO PATINO MURILLO                                                                           
67329,ACADEMIA NAVAL GUAYAQUIL S A                                                                        
55991,ECUA CONSORCIO CONSORCIO DEL ECUADOR SA                                                             
1616,MEGADATOS S.A-RECAUDACIONES                                                                         
16860,COOP PABLO MUNO                                                                                     
65639,INSFORMAC                                                                                           
69824,DOMONETT                                                                                            
68568,EINA                                                                                                
64525,INSTITUTO TECNICO SAN ANTONIO                                                                       
16002,ALMACEN EL MOTOR                                                                                    
66748,GALARPLAN SA                                                                                        
70164,COAC SIERRA CENTRO HUACHI CHICO                                                                     
49804,GUILLERMO ALFREDO CORDOVA VAZQUEZ                                                                   
64007,ESC SANTA MARIANITA DE JESUS                                                                        
70022,ASOCIACION DE PROPIETARIOS DE INMUEBLES Y EDIFICACIONES ALTOS DEL RIO                               
36708,NULL
13700,SERVICABLE                                                                                          
3714,GAD ANTONIO ANTE                                                                                    
2152,PROFERMACO CIA LTDA                                                                                 
58852,PELOTEA                                                                                             
68795,SCALA ECUADOR S C C A                                                                               
51417,CECILIA XIMENA LOZA MEDINA                                                                          
69803,REDSERVICE                                                                                          
5517,CIUDAD CELESTE                                                                                      
67981,NULL
65368,THOMAS MORE TMSA S A                                                                                
61332,ESCUELA LA MERCED                                                                                   
12034,BIC ECUADOR ECUABIC S A                                                                             
16676,MEGAKONS SA                                                                                         
68236,JYL COMPUTER SERVICE                                                                                
35187,COOPERATIVA ACCION TUNGURAHUA                                                                       
46270,FIDEICOMISO MERCANTIL INMOBILIARIO BELEN DEL NORTE II                                               
5195,ASEGURADORA DEL SUR C A-RECAUDACIONES                                                               
70020,DANIEL FERNANDO SILVA CORRALES                                                                      
68009,NULL
22973,SINDICATO DE CHOFERES OTAVALO                                                                       
68836,ESMEDICFISIO SA                                                                                     
47465,IMPORALONZO                                                                                         
67619,MUNICIPIO DE EL GUABO                                                                               
66001,ESC SANTA LUISA DE MARILLAC                                                                         
68153,GAD MUNICIPAL PLAYAS                                                                                
70268,EMP PUB DEL AGUA EPA EP                                                                             
2273,ACEROSCENTER                                                                                        
69976,COSEG CIA LTDA                                                                                      
23701,COAC SIERRA CENTRO LATACUNGA                                                                        
68722,ROSA CORINA GARCIA GARCIA                                                                           
57328,ECUASUENA S A                                                                                       
63064,TV PLUS                                                                                             
58704,LUIS FABRICIO ACUNA BAYAS                                                                           
29426,YOUNGLIVING ECUADOR CIA LTDA-RECAUDACIONES                                                          
31474,NULL
54689,GESTION CONSULTORIA Y CAPACITACION PABON Y ASOCIADOS GEPEA CIA LTDA
436,IDEAL ALAMBREC-RECAUDACIONES                                                                        
4965,UNIDAD EDUCATIVA JEAN-RECAUDACIONES                                                                 
5037,BMI IGUALAS MEDICAS                                                                                 
8267,UNIDAD EDUCATIVA SCOTLAND SCHOOL                                                                    
17523,AUSUBEL HIGH SCHOOL CIA LTDA                                                                        
3645,GAD MUNICIPAL EL EMPALME                                                                            
1011,BMI DEL ECUADOR                                                                                     
